type,id,lat,lon,tags
node,504757041,41.6134098,2.2959097,"{'addr:city': 'Granollers', 'addr:postcode': '08402', 'addr:street': 'Avinguda Francesc Ribas s/n', 'amenity': 'hospital', 'emergency': 'yes', 'healthcare': 'hospital', 'name': 'Fundació Hospital Asil de Granollers', 'name:ca': 'Fundació Hospital Asil de Granollers', 'phone': '+34 938425000', 'website': 'http://www.fhag.es'}"
node,1502975001,41.4111635,2.1590499,"{'amenity': 'hospital', 'name': 'Hospital Evangèlic', 'wheelchair': 'yes'}"
node,4501699298,10.0794745,-64.6280716,"{'amenity': 'hospital', 'name': 'Módulo'}"
node,4608724758,41.3464296,2.0381879,"{'addr:city': 'Sant Boi de Llobregat', 'addr:housenumber': '21', 'addr:postcode': '08830', 'addr:street': 'Carrer de Lluís Castells', 'amenity': 'hospital', 'description': 'Centre de Salut Mental Infantil i Juvenil depenent del Pla de Salut Mental de la Generalitat de Catalunya', 'healthcare': 'hospital', 'healthcare:speciality': 'physiotherapy;psychiatry', 'name': 'Centre de Salut Mental Infantil i Juvenil Sant Boi', 'operator': 'Fundació Orienta', 'operator:type': 'public', 'short_name': 'CSMIJ Sant Boi', 'website': 'https://www.fundacioorienta.com/', 'wheelchair': 'yes'}"
node,4682149921,41.3970879,2.1733003,"{'amenity': 'hospital', 'check_date': '2025-09-21', 'healthcare': 'hospital', 'healthcare:speciality': 'paediatrics', 'name': 'Hospital HM Nens', 'phone': '+34932310512', 'website': 'https://www.hmhospitales.com/hm-nens', 'wikidata': 'Q50036655'}"
node,5808989577,41.532514,2.1177936,"{'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Clínica del Vallès'}"
node,5848254468,41.583384,2.1750835,"{'addr:city': 'Palau-solità i Plegamans', 'addr:postcode': '08184', 'addr:street': 'Carrer de Can Cortés', 'amenity': 'hospital', 'emergency': 'no', 'healthcare': 'clinic', 'healthcare:speciality': 'general', 'name': ""Centre d'Atenció Primària de Palau-solità i Plegamans"", 'opening_hours': 'Mo-Sa 08:00-20:00', 'phone': '+34 938 64 98 98', 'short_name': 'CAP de Palau-solità i Plegamans'}"
node,6053107259,41.5450226,2.1162827,"{'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Cruz Roja Sabadell', 'operator': 'Cruz Roja', 'operator:type': 'ngo', 'operator:wikidata': 'Q7178'}"
node,6886257785,41.5396821,2.4489569,"{'addr:city': 'Mataró', 'addr:street': ""Carrer de l'Hospital"", 'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Antic Hospital de S. Jaume i Sta. Magdalena', 'name:ca': 'Antic Hospital de S. Jaume i Sta. Magdalena'}"
node,8343593006,10.1697694,-64.6733445,"{'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Ambulatorio Boyaca V'}"
node,8377278294,10.154622,-64.6706227,"{'addr:city': 'Barcelona', 'addr:postcode': '6001', 'addr:street': 'Avenida 1', 'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Cruz Roja Venezolana'}"
node,8377278312,10.1660981,-64.6697087,"{'addr:city': 'Barcelona', 'addr:postcode': '6001', 'addr:street': 'Avenida 2', 'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Clínica integral de la mujer'}"
node,8420205636,10.0901744,-64.6716753,"{'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Dispensario Los Mesones'}"
node,8424094414,10.1522206,-64.6771852,"{'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Laboratorio SunnyLab'}"
node,9592567655,41.8655131,1.970583,"{'amenity': 'hospital', 'healthcare': 'hospital', 'name': ""Centre d'Atenció Primària Avinyó"", 'short_name': 'CAP Avinyó'}"
node,11432298507,41.3126044,2.0142445,"{'amenity': 'hospital', 'healthcare': 'hospital'}"
node,11432298558,41.3216302,2.018367,"{'amenity': 'hospital', 'healthcare': 'hospital'}"
node,11432298563,41.3233611,2.0143244,"{'amenity': 'hospital', 'healthcare': 'centre'}"
node,11432307459,41.3174899,2.0094311,"{'amenity': 'hospital', 'healthcare': 'rehabilitation'}"
node,11432307460,41.32205,2.0186832,"{'amenity': 'hospital', 'healthcare': 'centre'}"
node,12238933364,41.5826044,1.6187203,"{'addr:city': 'Igualada', 'addr:housenumber': '54', 'addr:postcode': '08700', 'addr:street': 'Carrer de Carme Verdaguer', 'amenity': 'hospital', 'check_date': '2024-10-10', 'description': 'Unitats d’atenció geriàtrica i sociosanitària per a persones amb malaltia crònica que necessiten cures continuades, amb gran dependència i / o problemàtica familiar. També disposa d’una unitat psicogeriàtrica per a malalts d’Alzheimer o altres demències.', 'email': 'info@fssj.es', 'emergency': 'yes', 'healthcare': 'hospital', 'healthcare:speciality': 'geriatrics;physiatry;physiotherapy;psychiatry', 'name': ""Unitat d'Hospitalització de la FSSJ"", 'name:ca': ""Unitat d'Hospitalització de la FSSJ"", 'operator': 'Fundació Sanitària Sant Josep', 'operator:type': 'public/government', 'phone': '+34 938 032 650', 'website': 'https://fssj.es/services/unitats-dhospitalitzacio/', 'wheelchair': 'yes'}"
node,12279090842,41.400939,2.1636033,"{'addr:housenumber': '11', 'addr:street': 'Carrer de Santa Eulàlia', 'amenity': 'hospital', 'check_date': '2024-10-22', 'description': 'Entitat proveïdora del Sistema Català de Serveis Socials', 'healthcare': 'yes', 'name': 'Fundació Eulàlia Torras de Beà', 'wheelchair': 'yes'}"
node,12384147371,41.5326468,2.4319885,"{'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Hospital Creu Blanca', 'wheelchair': 'yes'}"
node,12543414503,41.397336,2.173848,"{'amenity': 'hospital', 'name': 'Hospital de Nens de Barcelona'}"
node,12679863301,41.3913113,2.123309,"{'addr:housenumber': '29', 'addr:street': 'Passeig de Manuel Girona', 'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Hispital Cima. Sanitas', 'wheelchair': 'yes'}"
node,12757571256,41.6860008,2.4868785,"{'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Mutua'}"
