time,temperature_2m,precipitation
2026-05-06T00:00,15.5,0.0
2026-05-06T01:00,15.0,0.0
2026-05-06T02:00,14.5,0.0
2026-05-06T03:00,14.1,0.0
2026-05-06T04:00,13.6,0.0
2026-05-06T05:00,13.4,0.0
2026-05-06T06:00,13.1,0.0
2026-05-06T07:00,12.2,0.0
2026-05-06T08:00,12.6,0.0
2026-05-06T09:00,14.2,0.0
2026-05-06T10:00,15.0,0.0
2026-05-06T11:00,16.8,0.0
2026-05-06T12:00,18.2,0.0
2026-05-06T13:00,19.1,0.0
2026-05-06T14:00,19.2,0.0
2026-05-06T15:00,19.2,0.0
2026-05-06T16:00,19.4,0.0
2026-05-06T17:00,19.4,0.0
2026-05-06T18:00,19.1,0.0
2026-05-06T19:00,18.5,0.0
2026-05-06T20:00,17.8,0.0
2026-05-06T21:00,17.0,0.0
2026-05-06T22:00,16.4,0.0
2026-05-06T23:00,15.9,0.0
2026-05-07T00:00,15.4,0.0
2026-05-07T01:00,14.7,0.0
2026-05-07T02:00,14.3,0.0
2026-05-07T03:00,14.2,0.0
2026-05-07T04:00,13.7,0.0
2026-05-07T05:00,13.4,0.0
2026-05-07T06:00,13.2,0.0
2026-05-07T07:00,13.0,0.0
2026-05-07T08:00,13.5,0.0
2026-05-07T09:00,15.3,0.0
2026-05-07T10:00,16.7,0.0
2026-05-07T11:00,17.7,0.0
2026-05-07T12:00,18.0,0.0
2026-05-07T13:00,18.4,0.0
2026-05-07T14:00,18.7,0.0
2026-05-07T15:00,18.7,0.0
2026-05-07T16:00,18.4,0.2
2026-05-07T17:00,18.4,0.1
2026-05-07T18:00,18.4,0.0
2026-05-07T19:00,18.0,0.0
2026-05-07T20:00,17.6,0.0
2026-05-07T21:00,17.1,0.0
2026-05-07T22:00,16.6,0.0
2026-05-07T23:00,16.2,0.0
2026-05-08T00:00,15.5,0.0
2026-05-08T01:00,14.6,0.0
2026-05-08T02:00,14.1,0.0
2026-05-08T03:00,13.9,0.0
2026-05-08T04:00,13.5,0.0
2026-05-08T05:00,13.0,0.0
2026-05-08T06:00,12.6,0.0
2026-05-08T07:00,12.3,0.0
2026-05-08T08:00,12.9,0.0
2026-05-08T09:00,15.1,0.0
2026-05-08T10:00,16.8,0.0
2026-05-08T11:00,18.1,0.0
2026-05-08T12:00,19.2,0.0
2026-05-08T13:00,19.7,0.0
2026-05-08T14:00,19.0,0.0
2026-05-08T15:00,18.8,0.2
2026-05-08T16:00,18.8,0.0
2026-05-08T17:00,18.6,0.0
2026-05-08T18:00,18.3,0.0
2026-05-08T19:00,17.9,0.1
2026-05-08T20:00,17.7,0.0
2026-05-08T21:00,17.2,0.0
2026-05-08T22:00,16.7,0.1
2026-05-08T23:00,16.3,0.0
2026-05-09T00:00,15.9,0.0
2026-05-09T01:00,15.4,0.0
2026-05-09T02:00,14.9,0.0
2026-05-09T03:00,14.5,0.0
2026-05-09T04:00,14.4,0.0
2026-05-09T05:00,14.2,0.0
2026-05-09T06:00,14.0,0.0
2026-05-09T07:00,14.0,0.0
2026-05-09T08:00,14.6,0.0
2026-05-09T09:00,15.9,0.0
2026-05-09T10:00,17.1,0.0
2026-05-09T11:00,18.3,0.0
